"id","bpm","uri","permalink_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","valence","arousal"
53188,1.023,"https://api.soundcloud.com/tracks/5578956","http://soundcloud.com/hupersonique/among-those-who-care",0,0,0,0,1,0,0,0,0,0,0,0,1.00,0.25
54865,0.669,"https://api.soundcloud.com/tracks/5783496","http://soundcloud.com/kamih/fall",0,0,0,0,0,0,0,0,0,0,1,0,0.25,-1.00
55214,0.940,"https://api.soundcloud.com/tracks/5839114","http://soundcloud.com/asadex/time-on",0,0,0,0,0,0,0,0,0,0,1,0,-1.00,-0.25
55807,0.940,"https://api.soundcloud.com/tracks/5923499","http://soundcloud.com/asadinho/fair-dinkum",0,0,0,0,0,0,1,0,0,0,0,0,-1.00,-0.25
55821,1.323,"https://api.soundcloud.com/tracks/5923093","http://soundcloud.com/override/night-night",0,0,0,0,0,0,0,0,1,0,0,0,-0.75,-0.50
56363,0.526,"https://api.soundcloud.com/tracks/5967423","http://soundcloud.com/ombilicum/bruz-101010",0,1,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
56476,1.028,"https://api.soundcloud.com/tracks/5998515","http://soundcloud.com/weichifield/circus-circus",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
57397,0.947,"https://api.soundcloud.com/tracks/6140292","http://soundcloud.com/cocodrills-miami/cocodrills-does-it-feel-good-original-mix",0,0,0,0,0,0,0,1,0,0,0,0,1.00,0.25
57986,1.053,"https://api.soundcloud.com/tracks/6226408","http://soundcloud.com/quasar-producer/venom-rbx-glacier-free-download",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
60029,1.053,"https://api.soundcloud.com/tracks/6530275","http://soundcloud.com/c83/you-dont-know",0,0,0,0,0,0,0,0,0,1,0,0,0.50,0.75
60262,0.451,"https://api.soundcloud.com/tracks/6553236","http://soundcloud.com/electric-arc/space-caravan-ii",0,1,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
60443,1.308,"https://api.soundcloud.com/tracks/6577339","http://soundcloud.com/slashcamp/thistleshrub",0,0,0,0,0,0,0,0,1,0,0,0,-0.75,-0.50
60473,0.977,"https://api.soundcloud.com/tracks/6575386","http://soundcloud.com/electronicmind/burn-it-up",0,0,0,0,0,0,0,0,0,0,1,0,1.00,0.25
60645,0.955,"https://api.soundcloud.com/tracks/6607371","http://soundcloud.com/bongoworm/the-original-bad-habit",0,0,0,0,0,0,0,0,0,0,1,0,0.50,-0.75
60940,1.053,"https://api.soundcloud.com/tracks/6630171","http://soundcloud.com/monkiboii/i-know-you-like-it-diirty",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
61052,0.526,"https://api.soundcloud.com/tracks/6670536","http://soundcloud.com/known-rebel/gathering-of-the-argonauts",0,1,0,0,0,0,0,0,0,0,1,0,0.50,-0.75
61591,1.278,"https://api.soundcloud.com/tracks/6765571","http://soundcloud.com/zimo/zimo-megashark-original-mix",0,0,0,0,0,0,0,0,0,1,0,0,1.00,-0.25
61653,0.481,"https://api.soundcloud.com/tracks/6761790","http://soundcloud.com/reuben-walton/roll-with-the-punches-isorhythmic-composition",0,0,1,0,0,0,0,0,0,0,0,0,0.25,-1.00
61684,1.053,"https://api.soundcloud.com/tracks/6759763","http://soundcloud.com/bendav91/saturday-afternoon-1",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
61806,0.955,"https://api.soundcloud.com/tracks/6793510","http://soundcloud.com/akrockefeller/aung-san-suu-kyi",0,0,0,0,1,0,0,0,0,0,0,0,-0.25,1.00
61971,0.451,"https://api.soundcloud.com/tracks/6783820","http://soundcloud.com/electric-arc/sirian-child",0,1,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
62087,0.654,"https://api.soundcloud.com/tracks/6820913","http://soundcloud.com/dojomusic/whip-it",0,0,0,0,0,0,0,0,0,0,1,0,-0.25,1.00
62092,0.962,"https://api.soundcloud.com/tracks/6820335","http://soundcloud.com/kazmashino/hypersensitive",0,0,0,0,0,0,0,0,0,0,1,0,-1.00,-0.25
62149,0.880,"https://api.soundcloud.com/tracks/6814739","http://soundcloud.com/technowagon/4-ghianda-apricots",0,0,0,0,0,0,0,0,0,0,1,0,0.50,0.25
62389,0.962,"https://api.soundcloud.com/tracks/6896460","http://soundcloud.com/simon-jonas/i-love-living-life-big-respect-to-nick-vujicic-1",0,0,0,0,0,0,1,0,0,0,0,0,0.75,0.50
62398,0.552,"https://api.soundcloud.com/tracks/6895639","http://soundcloud.com/rcksn/emotional-landscapes",0,1,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
62442,1.053,"https://api.soundcloud.com/tracks/6892475","http://soundcloud.com/selulance/selulance-lyrion-320kbps-free",0,0,0,0,0,0,0,0,0,1,0,0,0.25,-1.00
62952,1.053,"https://api.soundcloud.com/tracks/6954100","http://soundcloud.com/alyoshk/army-of-secret-police",0,0,0,0,0,0,0,0,0,1,0,0,-1.00,-0.25
63620,1.053,"https://api.soundcloud.com/tracks/7090775","http://soundcloud.com/terminal-20-12/terminal-20-12-grow-vegetables-grow",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
64267,1.278,"https://api.soundcloud.com/tracks/7192285","http://soundcloud.com/nighteyes/nova",0,0,0,0,0,0,0,0,1,0,0,0,1.00,0.25
65666,1.008,"https://api.soundcloud.com/tracks/7421171","http://soundcloud.com/twoleftsrightofwrong/sara",1,0,0,0,0,0,0,0,0,0,0,0,1.00,0.25
65820,1.053,"https://api.soundcloud.com/tracks/7452570","http://soundcloud.com/50carrot-dubstep/50-carrot-silent-imitations",0,0,0,0,0,0,0,0,0,1,0,0,1.00,-0.25
66147,1.053,"https://api.soundcloud.com/tracks/7475668","http://soundcloud.com/dankndirtydubz/dank001-altimeter-will-samson-wilson-dub-clip",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
66576,0.541,"https://api.soundcloud.com/tracks/7599161","http://soundcloud.com/upsetarcane/right-where-it-belongs-featuring-jerome-dulong",1,0,0,0,0,0,0,0,0,0,0,0,-1.00,0.25
66604,0.932,"https://api.soundcloud.com/tracks/7596850","http://soundcloud.com/eduramos/edu-ramos-playaphonic",0,0,0,0,0,0,1,0,0,0,0,0,0.50,-0.75
68209,0.602,"https://api.soundcloud.com/tracks/7882732","http://soundcloud.com/raven-2741/of-clouds-and-light",0,0,0,0,0,0,0,0,0,0,1,0,1.00,0.25
68773,0.501,"https://api.soundcloud.com/tracks/7986341","http://soundcloud.com/disciples-of-tesla/traxter-dj-dju-compartiment-sickness",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
69361,0.940,"https://api.soundcloud.com/tracks/8098525","http://soundcloud.com/the-odd-sox/bedroom-astronomy",0,0,0,0,0,0,0,0,0,0,0,1,0.50,-0.75
69610,0.338,"https://api.soundcloud.com/tracks/8130760","http://soundcloud.com/bitfeld/largo",0,0,1,0,0,0,0,0,0,0,0,0,-1.00,-0.25
69621,0.752,"https://api.soundcloud.com/tracks/8130154","http://soundcloud.com/distant_relations/ambient",0,1,0,0,0,0,0,0,0,0,0,0,0.25,-1.00
70893,1.053,"https://api.soundcloud.com/tracks/8322030","http://soundcloud.com/user2069595/oh-herro",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
71987,1.053,"https://api.soundcloud.com/tracks/8511492","http://soundcloud.com/50carrot-dubstep/50-carrot-sandstorm",0,0,0,0,0,0,0,0,0,1,0,0,1.00,-0.25
72906,0.977,"https://api.soundcloud.com/tracks/8620665","http://soundcloud.com/ameyyafiq/djey-amey-made-in-heaven",0,0,0,0,1,0,0,0,0,0,1,0,1.00,0.25
73506,1.053,"https://api.soundcloud.com/tracks/8722755","http://soundcloud.com/saracenuk/delicate",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
73537,1.316,"https://api.soundcloud.com/tracks/8774441","http://soundcloud.com/chriscrowe/extinguish",0,0,0,0,0,0,0,0,1,0,0,0,0.50,-0.75
73720,1.053,"https://api.soundcloud.com/tracks/8759887","http://soundcloud.com/racki/shellshocked",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
74271,1.053,"https://api.soundcloud.com/tracks/8884287","http://soundcloud.com/dj-teras/many-hours",0,0,0,0,0,0,0,0,0,0,1,0,1.00,0.25
74767,1.278,"https://api.soundcloud.com/tracks/9019652","http://soundcloud.com/josman-music/drum-and-bass-astro-boy",0,0,0,0,0,0,0,0,1,0,0,0,1.00,0.25
74986,1.045,"https://api.soundcloud.com/tracks/9063242","http://soundcloud.com/tsunami-audio/tsa002-addergebroed-thermite",0,0,0,0,0,0,0,0,0,1,0,0,-1.00,-0.25
74987,1.053,"https://api.soundcloud.com/tracks/9063241","http://soundcloud.com/tsunami-audio/tsa002-rakoon-acid",0,0,0,0,0,0,0,0,0,1,0,0,-1.00,-0.25
74988,1.053,"https://api.soundcloud.com/tracks/9063240","http://soundcloud.com/tsunami-audio/tsa002-phokus-the-next-ladi-dadi-3000",0,0,0,0,0,0,0,0,0,1,0,0,-1.00,-0.25
75898,1.353,"https://api.soundcloud.com/tracks/9215166","http://soundcloud.com/dj-mooney-1/check-yourself-mp3",0,0,0,0,0,0,0,0,1,0,0,0,1.00,0.25
76059,0.714,"https://api.soundcloud.com/tracks/9262084","http://soundcloud.com/pcgiii/playing-with-fire",0,0,0,0,0,0,0,0,0,0,1,0,-1.00,-0.25
76683,0.992,"https://api.soundcloud.com/tracks/9395741","http://soundcloud.com/whyrez/bilocation",0,1,0,0,0,0,0,0,0,0,0,0,-1.00,-0.25
77246,1.014,"https://api.soundcloud.com/tracks/9525875","http://soundcloud.com/dwayneevans/reflections-feat-nico-z-ller",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
77558,1.045,"https://api.soundcloud.com/tracks/9622907","http://soundcloud.com/kusharora/kush-arora-the-hacker-2010",0,0,0,0,0,0,0,0,0,1,0,0,0.50,0.75
77809,1.316,"https://api.soundcloud.com/tracks/9665734","http://soundcloud.com/runtingzrecordings/run-tingz-recordings-003-informer-the-run-tingz-cru-ft-blackout-j-a-mc-k-ners",0,0,0,0,0,0,0,0,1,0,0,0,0.50,0.75
78032,1.278,"https://api.soundcloud.com/tracks/9711002","http://soundcloud.com/mutineer/iconoclast",0,0,0,0,0,0,0,0,1,0,0,0,1.00,0.25
78230,1.053,"https://api.soundcloud.com/tracks/9755545","http://soundcloud.com/badapplemusic/common-ground",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
78526,0.940,"https://api.soundcloud.com/tracks/9846736","http://soundcloud.com/henning-richter/there-is-no-god-original",0,0,0,0,0,0,1,0,0,0,0,0,1.00,-0.25
78758,0.902,"https://api.soundcloud.com/tracks/9890871","http://soundcloud.com/taikomochirecords/aa2-we-love-all-enemies-tomas-malo",0,0,0,0,0,0,0,1,0,0,0,0,1.00,-0.25
78765,0.789,"https://api.soundcloud.com/tracks/9890611","http://soundcloud.com/taikomochirecords/a2-were-gonna-make-it-tomas-malo",0,0,0,0,0,0,0,1,0,0,0,0,1.00,-0.25
78774,1.308,"https://api.soundcloud.com/tracks/9890036","http://soundcloud.com/2nine/2nine-the-tale-of-one-winter",0,0,0,0,0,0,0,0,1,0,0,0,1.00,0.25
78778,0.827,"https://api.soundcloud.com/tracks/9889860","http://soundcloud.com/taikomochirecords/a1-i-love-what-you-do-the-dead-rose-music-company",0,0,0,0,0,0,0,1,0,0,0,0,1.00,-0.25
78931,0.955,"https://api.soundcloud.com/tracks/9944257","http://soundcloud.com/gnpr/hd",0,0,0,0,0,0,0,0,0,0,1,0,1.00,0.25
79990,1.353,"https://api.soundcloud.com/tracks/10173090","http://soundcloud.com/zakarus/sad-electricity",0,0,0,0,0,0,0,0,1,0,0,0,-1.00,-0.25
80349,0.752,"https://api.soundcloud.com/tracks/10275904","http://soundcloud.com/fab-samperi/fab-samperi-in-the-river",0,0,0,0,0,0,0,0,0,0,0,1,0.50,0.75
80866,0.902,"https://api.soundcloud.com/tracks/10370013","http://soundcloud.com/byunjoe/abstract-hue",0,0,0,0,0,0,1,0,0,0,0,0,0.25,-1.00
81563,1.308,"https://api.soundcloud.com/tracks/10564831","http://soundcloud.com/2nine/2nine-questions",0,0,0,0,0,0,0,0,1,0,0,0,-1.00,-0.25
82706,0.722,"https://api.soundcloud.com/tracks/10800911","http://soundcloud.com/verran/foregone",0,0,0,0,0,0,0,0,0,0,1,0,-1.00,-0.25
83830,0.880,"https://api.soundcloud.com/tracks/11111471","http://soundcloud.com/fresh-meat-records/giovanni-damico-remember",0,0,0,0,0,0,1,0,0,0,0,0,-0.25,0.75
